"comment","comment_sentiment_category","hotel_name","month","year","rating_score","rating_category"
"Standard International","neutral","Hilton Hotel","May","2019","5","positive"
"Magnífico","neutral","Hilton Hotel","May","2019","5","positive"
"Sehr gutes Hotel in zentraler Lage mit entsprechendem Preisniveau","neutral","Hilton Hotel","April","2019","5","positive"
"Wir haben mehr erwartet!","neutral","Hilton Hotel","March","2019","2","negative"
"A haven in Windhoek","positive","Hilton Hotel","February","2019","5","positive"
"Robert ","neutral","Hilton Hotel","November","2020","5","positive"
"Poor service give it amiss","negative","Hilton Hotel","January","2022","2","negative"
"Awesome Hospitality","positive","Hilton Hotel","November","2023","5","positive"
"Great Place to stay","positive","Hilton Hotel","February","2020","4","positive"
"Excellent hotel","positive","Hilton Hotel","November","2022","5","positive"
"Great stay and great staff","positive","Hilton Hotel","December","2021","5","positive"
"Excellent value for your money","positive","Hilton Hotel","October","2022","5","positive"
"Irreführende Werbung","neutral","Hilton Hotel","February","2020","5","positive"
"Mostly very good","positive","Hilton Hotel","September","2019","4","positive"
"Theft","negative","Hilton Hotel","February","2019","1","negative"
"What a joke","positive","Hilton Hotel","May","2022","1","negative"
"Not equivalent to a 5 star","positive","Hilton Hotel","December","2019","3","neutral"
"World traveler","neutral","Hilton Hotel","May","2019","2","negative"
"Disappointing Stay","negative","Hilton Hotel","March","2019","2","negative"
"Comfortable but some problems","neutral","Hilton Hotel","January","2019","3","neutral"
"Pratique et pas (trop) cher","neutral","Hilton Hotel","February","2023","3","neutral"
"Ushie the cocktail Queen","neutral","Hilton Hotel","July","2022","5","positive"
"Stadthotel mit wunderschöner Skybar","neutral","Hilton Hotel","August","2021","4","positive"
"Buona sistemazione","neutral","Hilton Hotel","August","2019","4","positive"
"5 star hotel but 3 star service delivery","positive","Hilton Hotel","December","2019","3","neutral"
"Business trip","neutral","Hilton Hotel","November","2019","5","positive"
"Engagement Night","neutral","Hilton Hotel","June","2019","4","positive"
"Gerne wieder :-)","neutral","Hilton Hotel","August","2019","5","positive"
"My favorite place","positive","Hilton Hotel","August","2019","5","positive"
"Stylish skybar","positive","Hilton Hotel","July","2019","4","positive"
"Really nice","positive","Hilton Hotel","June","2019","4","positive"
"The place to be.","neutral","Hilton Hotel","May","2019","5","positive"
"Good enough but not outstanding","positive","Hilton Hotel","May","2019","3","neutral"
"Great service awesome location","positive","Hilton Hotel","April","2019","5","positive"
"Great stay excellent service","positive","Hilton Hotel","March","2019","4","positive"
"Excelente hotel com padrão internacional","neutral","Hilton Hotel","February","2019","5","positive"
"Phillip's review","neutral","Avani Hotel","March","2023","5","positive"
"Well prepared meal and good service","positive","Avani Hotel","November","2021","5","positive"
"Lovely Namibia","positive","Avani Hotel","September","2023","5","positive"
"Service","neutral","Avani Hotel","July","2021","3","neutral"
"nice and worth the money","positive","Avani Hotel","December","2022","4","positive"
"No words can describe the experience. Very customer oriented","neutral","Avani Hotel","October","2023","5","positive"
"Stratos","neutral","Avani Hotel","December","2022","5","positive"
"Great City Views","positive","Avani Hotel","October","2022","5","positive"
"good","positive","Avani Hotel","December","2023","4","positive"
"Great hotel roof bar helpful staff","positive","Avani Hotel","July","2022","5","positive"
"Nice hote","positive","Avani Hotel","October","2020","4","positive"
"Very comfortable clean and well maintained.","positive","Avani Hotel","August","2023","5","positive"
"Rolla's experience of Avani Hotel","neutral","Avani Hotel","February","2020","4","positive"
"Thanks Samoline...","positive","Avani Hotel","September","2022","5","positive"
"Great services","positive","Avani Hotel","June","2023","5","positive"
"Reception at Windhoek Avani","neutral","Avani Hotel","July","2023","4","positive"
"Superb and magnificent.","positive","Avani Hotel","March","2023","5","positive"
"Mr","neutral","Avani Hotel","April","2022","5","positive"
"Warm welcome","positive","Avani Hotel","October","2022","5","positive"
"Stratos","neutral","Avani Hotel","June","2023","5","positive"
"Stratos","neutral","Avani Hotel","January","2023","5","positive"
"Enjoyed the stay at Avani Windhoek","positive","Avani Hotel","May","2023","4","positive"
"Coffee Date","neutral","Avani Hotel","January","2023","4","positive"
"Avani hotel - Namibia ","neutral","Avani Hotel","October","2022","5","positive"
"Mrs","neutral","Avani Hotel","April","2022","5","positive"
"Good service of Avani Hotel","positive","Avani Hotel","January","2023","4","positive"
"Concierge ","neutral","Avani Hotel","August","2023","5","positive"
"Thanks Jacqueline and Kylie","positive","Avani Hotel","September","2023","5","positive"
"Amazing view","positive","Avani Hotel","January","2023","5","positive"
"The best place to be when in Windhoek","positive","Avani Hotel","December","2021","5","positive"
"Thanks Layla! Thanks Avani.","positive","Avani Hotel","July","2023","5","positive"
"Stratos","neutral","Avani Hotel","November","2023","4","positive"
"Fine but boring hotel","negative","Avani Hotel","April","2023","4","positive"
"Mr. Shiimi","neutral","Avani Hotel","October","2022","5","positive"
"Great stay","positive","Avani Hotel","August","2023","5","positive"
"Mr Silas","neutral","Avani Hotel","November","2022","5","positive"
"Stratos","neutral","Avani Hotel","January","2023","5","positive"
"Was a great Experience","positive","Avani Hotel","September","2023","4","positive"
"Rooftop bar","neutral","Avani Hotel","September","2022","5","positive"
"Great experience ","positive","Avani Hotel","June","2023","5","positive"
"Splendid stay","positive","Avani Hotel","September","2022","5","positive"
"Great and fun","positive","Avani Hotel","September","2023","5","positive"
"It was lovely i loved the food and the service","positive","Avani Hotel","July","2023","5","positive"
"Shanice! Shanice! Shanice! 😇","neutral","Avani Hotel","November","2023","4","positive"
"Excellent","positive","Avani Hotel","October","2022","5","positive"
